NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,CoordSource
NYC66F0405,ACC,1965-12-28T05:00:00Z,MT ALTON,Pennsylvania,United States,N8418W,None,0,0,0,,40.0077,-75.1339,PIPER,P A-28,AIR,,BRADFORD-MCKEAN,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
SEA66D0201,ACC,1965-12-28T05:00:00Z,FEATHERVILLE,Idaho,United States,N74741,None,0,0,0,,43.6005,-116.2308,MOONEY,M20B,AIR,,FEATHERVILLE,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
NYC66F0421,ACC,1965-12-28T05:00:00Z,NEPTUNE,New Jersey,United States,N3364Z,Minor,0,0,3,,40.2237,-74.7641,PIPER,PA-22,AIR,,ASHBURY PARK,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
MKC66F0427,ACC,1965-12-26T05:00:00Z,BRIGETON,Missouri,United States,N7914U,Serious,0,1,0,,38.6359,-90.2451,CESSNA,172F,AIR,,LAMBERT FIELD,FALSE,1,,PERS,91,Destroyed,VFR,,state_centroid
FTW66F0461,ACC,1965-12-24T05:00:00Z,FLORRIESSANT,Louisiana,United States,N3059J,Minor,0,0,1,,30.0687,-89.9288,CESSNA,150E,AIR,,,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
MIA66F0372,ACC,1965-12-23T05:00:00Z,CUMBLND CITY,Tennessee,United States,N4896K,Minor,0,0,3,,36.1715,-86.7842,NAVION,A,AIR,,,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
MKC66F0343,ACC,1965-12-22T05:00:00Z,SO ST PAUL,Minnesota,United States,N8799M,None,0,0,0,,44.9635,-93.2678,BEECHCRAFT,23,AIR,,FLEMING,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
DEN66A0050,ACC,1965-12-22T05:00:00Z,LAVEEN,Arizona,United States,N9944B,Fatal,2,0,0,,33.5722,-112.0892,CESSNA,182,AIR,,,FALSE,1,,PERS,91,Destroyed,UNK,,state_centroid
FTW66D0451,ACC,1965-12-20T05:00:00Z,THORNWELL,Louisiana,United States,N6899T,None,0,0,0,,30.0687,-89.9288,CESSNA,310D,AIR,,GOOSE IS,FALSE,2,,PERS,91,Substantial,VFR,,state_centroid
FTW66F0460,ACC,1965-12-19T05:00:00Z,COLLEGE STA,Texas,United States,N7190T,Serious,0,1,0,,29.786,-95.3885,CESSNA,172A,AIR,,EASTERWOOD FIELD,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
CHI66F0483,ACC,1965-12-19T05:00:00Z,IRON MT,Michigan,United States,N8340W,None,0,0,0,,42.3834,-83.1024,PIPER,PA-28,AIR,,FORD,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
MIA66F0366,ACC,1965-12-19T05:00:00Z,LAKE WORTH,Florida,United States,N8661A,Minor,0,0,3,,25.784,-80.2101,BEECH,A35,AIR,,,FALSE,1,,PERS,91,Destroyed,VFR,,state_centroid
MIA66D0436,ACC,1965-12-19T05:00:00Z,HAZELGREEN,Alabama,United States,N1882D,None,0,0,0,,33.5279,-86.7971,BEECHCRAFT,C35,AIR,,CHESS-KING,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
LAX66F0202,ACC,1965-12-18T05:00:00Z,CATALINA IS,California,United States,N3980U,None,0,0,0,,34.1141,-118.4068,CESSNA,150,AIR,,CATALINA,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
NYC66F0430,ACC,1965-12-18T05:00:00Z,PEPPERELL,Massachusetts,United States,N33121,Minor,0,0,1,,42.3188,-71.0852,PIPER,JC3-65,AIR,,PEPPERELL,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
FTW66D0455,ACC,1965-12-17T05:00:00Z,OKLAHOMACITY,Oklahoma,United States,N9927R,None,0,0,0,,35.4676,-97.5136,BEECHCRAFT,M35,AIR,,DOWNTOWN AIRPARK,FALSE,1,,BUS,91,None,VFR,,state_centroid
